id,post_id,author_handle,content_text,fetched_at
tt_7077394521717247233_7115726699086218011,tt_7077394521717247233,tpdung9x,zalo chuẩn bị thu phí rồi.. ai mà dùng nữa 😂😂,1781335838
tt_7077394521717247233_7078660094988747522,tt_7077394521717247233,camera.chay.bang.c0m,hảo zalo sos :)),1781335838
tt_7077394521717247233_7079356482991047426,tt_7077394521717247233,oghuntingdevil,Qc nghe hay đấy text luôn,1781335838
tt_7077394521717247233_7078524975610856194,tt_7077394521717247233,yuulienquan.aonhay,Cho 1 tỉ đi r tải😂😂,1781335838
tt_7077394521717247233_7116675042746352411,tt_7077394521717247233,concatnayhaohan,may quá zalo hết flop r,1781335838
tt_7077394521717247233_7078933996528993026,tt_7077394521717247233,umewin_29,thiệt chứa quản cáo zalo lài vãi😂,1781335838
tt_7077394521717247233_7116908828599681818,tt_7077394521717247233,beoooo.l,mấy bà chỗ tao thẻ 100k bán 110k 😏😏,1781335838
tt_7077394521717247233_7109692957717021466,tt_7077394521717247233,triw_209,"Cố 4,5 cái nạp thẻ 1k mà chưa liên kết ngân hàng 😂",1781335838
tt_7077394521717247233_7080012831915705090,tt_7077394521717247233,7ijjjskk5fff,Ko thua j quảng cáo omo,1781335838
tt_7077394521717247233_7111630071932207898,tt_7077394521717247233,huyca0012,ko biết tạo zaloPay🥺,1781335838
tt_7077394521717247233_7111181959677821722,tt_7077394521717247233,binmc200,xem quảng cáo như phím hài hước mà nói trên nớ rẻ thiết 😂😂😂,1781335838
tt_7077394521717247233_7166599559467189019,tt_7077394521717247233,hoctap247,"Hay lắm , mình đã thêm được thẻ tín dụng để chỉ tiêu rất thú vị",1781335838
tt_7077394521717247233_7109729402388628251,tt_7077394521717247233,user3ueger76qu,cứ bắt liên kêts ngân hàng,1781335838
tt_7077394521717247233_7110079293866410779,tt_7077394521717247233,h.21or27,t đăng kí có 3g rồi nè,1781335838
tt_7077394521717247233_7113887396303946522,tt_7077394521717247233,tiktok28283738,nhưng tao nạp game,1781335838
tt_7052927039812209946_7053481267287409409,tt_7052927039812209946,o_kim3609,Cho e mảnh 4 iphone ik đt ghẻ wa rùi,1781335838
tt_7052927039812209946_7053503517759406849,tt_7052927039812209946,nhu_y_180699,ai có mảng thứ 3 ihone13 hông😂😂,1781335838
tt_7052927039812209946_7053489738246030081,tt_7052927039812209946,duongtuan328,t đã chờ đc 3 tháng kể từ lần thứ 13 t chụp đi chụp lại cái cccd để lập tk nhưng đoán xem zalo vẫn ko thèm duyệt cho t,1781335838
tt_7052927039812209946_7053775691787551490,tt_7052927039812209946,dkhanh_1603,"T có 3 mảnh 4 nè, ai cần inb",1781335838
tt_7052927039812209946_7053589625264259842,tt_7052927039812209946,newmomentvibe,Tui được IPhone 13 Pro Max,1781335838
tt_7052927039812209946_7053588955996504833,tt_7052927039812209946,dyof9fjyd4op,hay,1781335838
tt_7052927039812209946_7053604166585254657,tt_7052927039812209946,quocthanh3405,Có ai chéo mảnh 4 lấy mảnh còn lại k ạ?,1781335838
tt_7052927039812209946_7053590506328802049,tt_7052927039812209946,ahihidongoc140404,không ra có mảnh 4 ip đâu mà xin khổ,1781335838
tt_7052927039812209946_7053498690539225858,tt_7052927039812209946,jahahjsk,@𝔞𝔬 𝔱𝔲𝔫𝔤 𝔠𝔥𝔞𝔬:1.16 sáng tìm đối thủ,1781335838
tt_7052927039812209946_7053481639888028417,tt_7052927039812209946,r.i.p.51,Xong nạp tiền vào thời gian nó huỷ đi rồi đi tìm zalo ở đâu để đòi tiền ?,1781335838
tt_7052927039812209946_7053505867815535361,tt_7052927039812209946,anhkhoi864,ai có mảnh 4 đổi mảnh 3 ko,1781335838
tt_7052927039812209946_7053633301840069378,tt_7052927039812209946,phamhuy_9,cho mình 5 cái iPad nha😂,1781335838
